clientId,company,category,city,state,contactTitle,website,pitchAngle,source,seedFile
epa-1014714,395 Williston Basin Gb Wpx,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009281,395 Williston Basin Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003188,3m Brownwood,commercial_solar,Brownwood,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 326113. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1006665,3m Chemical Operations' Cordova Facility,commercial_solar,Cordova,IL,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325998. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004836,3m Chemical Operations' Cottage Grove Facility,commercial_solar,Cottage Grove,MN,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325998. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004206,3m Chemical Operations' Decatur Facility,commercial_solar,Decatur,AL,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325211. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1005043,3m Co,commercial_solar,Maplewood,MN,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 541715. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003739,3m Co - Guin,commercial_solar,Guin,AL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 326113. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007698,3m Co - Wausau Downtown,commercial_solar,Wausau,WI,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212313. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002574,3m Company,commercial_solar,St Paul,MN,Director of Facilities,,Heavy manufacturing — 2022 EPA GHG Reporter. NAICS 339999. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1003408,3m Industrial Mineral Products Division,commercial_solar,Little Rock,AR,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327999. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004914,3m Magnetic Tape Manufacturing Division,commercial_solar,Hutchinson,MN,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 326199. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004804,3m Nevada Plant,commercial_solar,Nevada,MO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 326113. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013282,3m Pittsboro,commercial_solar,Moncure,NC,Director of Facilities,,Cement / glass — 2022 EPA GHG Reporter. NAICS 327999. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007408,4 West Mine,commercial_solar,Dilliner,PA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 212112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009276,415 Strawn Basin Bkv - Production,commercial_solar,Fort Worth,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012545,415 Strawn Bkv  Gb,commercial_solar,Fort Worth,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012495,420 Fort Worth Syncline,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012544,420 Fort Worth Syncline Bkv  Gb,commercial_solar,Fort Worth,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008289,420 Fort Worth Syncline Bkv - Production,commercial_solar,Bridgeport,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012470,425 Bend Arch,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014915,430 - Permian Basin - Pinon,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013815,430 Cotton Draw Midstream,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009270,430 Permian Basin,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012500,430 Permian Basin,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008290,430 Permian Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012353,430 Permian Basin Gb Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009691,430 Permian Basin Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001106,48th Street Peaking Station,commercial_solar,Holland,MI,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012037,50 Buttes Gas Plant,commercial_solar,Gillette,WY,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 213112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009790,507 Central Western Overthrust Basin - Bp America Production Company,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008294,507 Central Western Overthrust Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012569,515 Powder River Basin,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009278,515 Powder River Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1011262,515 Powder River Basin Rki Exploration & Production,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008622,535 Green River Basin - Bp America Production Company,commercial_solar,Houston,TX,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008621,535 Green River Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008295,535 Green River Basin Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009282,575 Uinta Basin Qep Energy Company,commercial_solar,Denver,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012154,580 - San Juan Basin Gathering/Boosting,commercial_solar,Durango,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1009076,580 San Juan Basin - Simcoe Llc,commercial_solar,Durango,CO,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211130. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008974,580 San Juan Basin Dec,commercial_solar,Oklahoma City,OK,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211111. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1004680,58th St Lf (Main County Lf),commercial_solar,Miami,FL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000766,59th Street,commercial_solar,New York,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221330. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1007733,69th St Wwtp,commercial_solar,Houston,TX,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221320. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1008499,745 San Joaquin Basin Chevron Usa Inc.,commercial_solar,San Ramon,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 211120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000767,74th Street,commercial_solar,New York,NY,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221330. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001033,A B Brown Generating Station,commercial_solar,Mount Vernon,IN,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1001607,A B Paterson,commercial_solar,New Orleans,LA,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013576,A-Gas Us Inc,commercial_solar,Bowling Green,OH,Director of Facilities,,Chemical manufacturing — 2022 EPA GHG Reporter. NAICS 325120. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012058,"A.C.M.S., Inc.",commercial_solar,Lake Panasoffkee,FL,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562212. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1014296,"A.C.S. Reclamation & Recovery, Inc.",commercial_solar,Arvin,CA,Director of Facilities,,Industrial facility — 2022 EPA GHG Reporter. NAICS 562920. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1013527,A.J. Mihm Generating Station,commercial_solar,Pelkie,MI,Director of Facilities,,Power generation — 2022 EPA GHG Reporter. NAICS 221112. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1000378,Abbott Laboratories,commercial_solar,Casa Grande,AZ,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311514. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1002853,Abbott Nutrition,commercial_solar,Sturgis,MI,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311514. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
epa-1012993,Abbott Nutrition,commercial_solar,Columbus,OH,Director of Facilities,,Food manufacturing — 2022 EPA GHG Reporter. NAICS 311514. Pre-qualified high-energy solar candidate.,epa_ghgrp,seed-epa-facilities
